site,tortid,sex,status,year,quarter,date,cohab_count,logistic_count,temperature,rainfall,local_tort_density,local_burrow_density,survey_rate
BSV,214,F,R,1997,3,1997-10-05,0,0,66.0,0.0,1,4,0.09714285714285714
BSV,214,F,R,1997,3,1997-10-16,0,0,66.0,0.0,0,4,0.05142857142857143
BSV,214,F,R,1998,3,1998-10-22,2,1,65.3,0.08,3,6,0.21428571428571427
BSV,214,F,R,1999,2,1999-06-01,0,0,84.0,0.22,0,1,0.36363636363636365
BSV,214,F,R,1999,3,1999-08-02,0,0,90.1,0.02,0,2,0.509090909090909
BSV,215,F,R,1997,3,1997-08-11,0,0,89.2,0.13,0,6,0.21142857142857144
BSV,215,F,R,1997,2,1997-05-27,0,0,81.5,0.0,0,1,0.1657142857142857
BSV,215,F,C,1996,1,1997-02-03,0,0,52.7,0.19,0,2,0.09714285714285714
BSV,215,F,R,1997,3,1997-08-04,0,0,89.2,0.13,0,1,0.06857142857142857
BSV,215,F,R,1997,3,1997-08-25,0,0,89.2,0.13,0,2,0.1657142857142857
BSV,215,F,R,1997,3,1997-07-01,0,0,87.4,0.03,0,2,0.26285714285714284
BSV,215,F,R,1997,2,1997-05-13,0,0,81.5,0.0,0,2,0.10857142857142857
BSV,215,F,C,1996,3,1996-07-08,0,0,93.9,2.29,0,1,0.06666666666666667
BSV,215,F,R,1997,2,1997-06-09,0,0,84.2,0.0,0,2,0.18857142857142858
BSV,215,F,C,1996,1,1996-11-10,0,0,56.8,1.0,0,1,0.08
BSV,215,F,R,1997,2,1997-05-19,0,0,81.5,0.0,0,1,0.21142857142857144
BSV,215,F,C,1996,3,1996-10-12,0,0,66.9,0.44,0,1,0.06666666666666667
BSV,215,F,R,1997,3,1997-09-01,0,0,81.5,1.18,0,2,0.17142857142857143
BSV,215,F,R,1997,3,1997-07-29,1,1,87.4,0.03,1,5,0.26857142857142857
BSV,215,F,R,1997,3,1997-07-14,1,1,87.4,0.03,1,2,0.2857142857142857
BSV,215,F,R,1997,2,1997-06-05,0,0,84.2,0.0,0,2,0.26857142857142857
BSV,215,F,R,1997,2,1997-06-03,0,0,84.2,0.0,0,2,0.09714285714285714
BSV,215,F,R,1997,2,1997-05-14,0,0,81.5,0.0,0,2,0.2
BSV,215,F,R,1997,3,1997-07-07,1,1,87.4,0.03,1,2,0.22285714285714286
BSV,215,F,R,1997,2,1997-06-23,0,0,84.2,0.0,0,2,0.22285714285714286
BSV,215,F,C,1996,1,1996-12-23,0,0,47.8,0.13,0,1,0.2
BSV,212,M,C,1996,3,1996-10-27,0,0,66.9,0.44,0,2,0.14666666666666667
BSV,212,M,C,1996,3,1996-07-08,0,0,93.9,2.29,0,2,0.06666666666666667
BSV,212,M,C,1996,3,1996-09-28,0,0,80.4,0.0,0,1,0.05333333333333334
BSV,212,M,C,1996,3,1996-08-06,0,0,91.9,0.05,0,1,0.04
BSV,212,M,C,1996,3,1996-09-14,0,0,80.4,0.0,0,1,0.08
BSV,212,M,C,1996,1,1996-11-16,0,0,56.8,1.0,0,2,0.16
BSV,213,F,C,1996,3,1996-08-16,0,0,91.9,0.05,0,1,0.08
BSV,213,F,C,1996,3,1996-08-05,0,0,91.9,0.05,0,1,0.12
BSV,213,F,C,1996,3,1996-08-20,0,0,91.9,0.05,0,1,0.17333333333333334
BSV,210,F,R,1997,1,1998-01-20,3,1,46.9,0.18,3,4,0.15079365079365079
BSV,210,F,R,1997,3,1997-07-14,0,0,87.4,0.03,0,2,0.2857142857142857
BSV,210,F,R,1998,2,1998-06-22,0,0,79.5,0.0,0,1,0.48412698412698413
BSV,210,F,R,1998,2,1998-03-16,3,1,56.8,0.63,3,4,0.3968253968253968
BSV,210,F,R,1998,1,1998-11-02,4,1,52.7,0.07,5,4,0.46825396825396826
BSV,210,F,R,1997,1,1997-11-04,4,1,55.0,0.21,4,4,0.14285714285714285
BSV,210,F,R,1998,1,1999-01-13,4,1,49.5,0.07,4,3,0.3181818181818182
BSV,210,F,R,1998,2,1998-03-13,0,0,56.8,0.63,0,4,0.09523809523809523
BSV,210,F,C,1996,3,1996-10-13,0,0,66.9,0.44,0,3,0.04
BSV,210,F,R,1998,2,1998-06-10,0,0,79.5,0.0,0,4,0.30158730158730157
BSV,210,F,C,1997,2,1997-03-03,0,0,63.0,0.0,0,4,0.045714285714285714
BSV,210,F,R,1997,3,1997-08-08,0,0,89.2,0.13,0,2,0.14285714285714285
BSV,210,F,R,1997,2,1997-06-09,0,0,84.2,0.0,0,2,0.18857142857142858
BSV,210,F,R,1998,2,1998-03-24,1,1,56.8,0.63,2,4,0.3968253968253968
BSV,210,F,R,1999,2,1999-04-20,0,0,61.3,1.42,0,1,0.20909090909090908
BSV,210,F,C,1996,3,1996-08-20,0,0,91.9,0.05,0,3,0.17333333333333334
BSV,210,F,R,1998,2,1998-04-15,0,0,61.0,0.8,0,1,0.2857142857142857
BSV,210,F,R,1998,3,1998-10-26,0,0,65.3,0.08,1,2,0.5158730158730159
BSV,210,F,R,1999,2,1999-03-22,0,0,61.0,0.0,0,1,0.8
BSV,210,F,C,1996,3,1996-10-27,0,0,66.9,0.44,0,2,0.14666666666666667
BSV,210,F,R,1999,2,1999-06-07,0,0,84.0,0.22,0,2,0.33636363636363636
BSV,210,F,R,1999,1,1999-11-10,0,0,57.7,0.0,1,4,0.35454545454545455
BSV,210,F,R,1998,2,1998-06-29,0,0,79.5,0.0,0,2,0.3888888888888889
BSV,210,F,R,1999,2,1999-03-20,0,0,61.0,0.0,0,1,0.00909090909090909
BSV,210,F,R,1999,1,1999-12-07,0,0,48.0,0.0,1,4,0.21818181818181817
BSV,210,F,R,1998,3,1998-07-27,0,0,89.6,2.09,0,2,0.4444444444444444
BSV,210,F,C,1997,2,1997-03-25,0,0,63.0,0.0,0,5,0.10285714285714286
BSV,210,F,R,1999,3,1999-07-28,1,1,91.0,0.53,1,1,0.5
BSV,210,F,R,1998,3,1998-08-17,0,0,90.0,0.03,0,3,0.48412698412698413
BSV,210,F,C,1996,3,1996-07-09,0,0,93.9,2.29,0,1,0.10666666666666667
BSV,210,F,R,1997,1,1997-12-12,2,1,45.1,0.15,2,4,0.08
BSV,210,F,R,1998,3,1998-09-21,0,0,80.1,1.42,0,1,0.5555555555555556
BSV,210,F,R,1998,3,1998-09-29,1,1,80.1,1.42,1,4,0.31746031746031744
BSV,210,F,R,1997,2,1997-05-27,0,0,81.5,0.0,0,2,0.1657142857142857
BSV,210,F,R,1999,2,1999-06-15,0,0,84.0,0.22,0,1,0.37272727272727274
BSV,210,F,R,1997,1,1998-02-19,3,1,49.3,2.67,3,4,0.38095238095238093
BSV,210,F,C,1996,2,1996-06-26,0,0,86.5,0.0,0,1,0.06666666666666667
BSV,210,F,C,1996,1,1996-11-16,0,0,56.8,1.0,0,2,0.16
BSV,210,F,R,1999,2,1999-05-10,0,0,75.6,0.0,0,1,0.07272727272727272
BSV,210,F,R,1998,3,1998-07-08,0,0,89.6,2.09,0,4,0.42063492063492064
BSV,210,F,R,1998,2,1998-06-23,0,0,79.5,0.0,0,1,0.36507936507936506
BSV,210,F,R,1998,2,1998-05-04,0,0,69.8,0.19,0,4,0.3253968253968254
BSV,210,F,R,1998,1,1999-02-02,4,1,52.5,0.11,4,3,0.5909090909090909
BSV,210,F,C,1996,3,1996-07-03,0,0,93.9,2.29,0,1,0.10666666666666667
BSV,210,F,R,1999,2,1999-03-29,0,0,61.0,0.0,0,1,0.5818181818181818
BSV,210,F,R,1999,3,1999-08-31,0,0,90.1,0.02,0,1,0.37272727272727274
BSV,210,F,R,1997,3,1997-10-28,1,1,66.0,0.0,1,4,0.08571428571428572
BSV,210,F,R,1997,2,1997-06-17,0,0,84.2,0.0,0,2,0.14857142857142858
BSV,210,F,R,1999,3,1999-08-17,0,0,90.1,0.02,0,1,0.509090909090909
BSV,210,F,R,1999,2,1999-04-06,0,0,61.3,1.42,0,1,0.2636363636363636
BSV,210,F,R,1999,2,1999-04-16,0,0,61.3,1.42,0,1,0.18181818181818182
BSV,210,F,R,1997,2,1997-06-23,0,0,84.2,0.0,0,3,0.22285714285714286
BSV,210,F,C,1997,2,1997-03-02,0,0,63.0,0.0,0,4,0.06285714285714286
BSV,210,F,R,1997,1,1997-11-17,3,1,55.0,0.21,3,4,0.3485714285714286
BSV,210,F,R,1998,2,1998-06-15,0,0,79.5,0.0,0,4,0.40476190476190477
BSV,210,F,R,1999,3,1999-07-06,0,0,91.0,0.53,1,4,0.2727272727272727
BSV,210,F,R,1998,2,1998-05-12,0,0,69.8,0.19,0,4,0.3412698412698413
BSV,210,F,R,1998,1,1998-11-16,5,1,52.7,0.07,5,4,0.7936507936507936
BSV,210,F,R,1999,2,1999-04-28,0,0,61.3,1.42,0,1,0.13636363636363635
BSV,210,F,R,1998,3,1998-10-14,2,1,65.3,0.08,3,4,0.36507936507936506
BSV,210,F,R,1999,2,1999-05-19,0,0,75.6,0.0,0,1,0.2909090909090909
BSV,210,F,R,1999,2,1999-06-29,0,0,84.0,0.22,1,4,0.2636363636363636
BSV,210,F,R,1997,3,1997-08-14,0,0,89.2,0.13,0,2,0.12571428571428572
BSV,210,F,C,1996,1,1997-01-02,0,0,49.1,0.74,0,4,0.05142857142857143
BSV,210,F,C,1996,1,1997-02-06,0,0,52.7,0.19,0,4,0.045714285714285714
BSV,210,F,R,1998,1,1998-11-09,5,1,52.7,0.07,5,4,0.626984126984127
BSV,210,F,R,1999,2,1999-06-02,0,0,84.0,0.22,0,1,0.3090909090909091
BSV,210,F,R,1999,3,1999-10-18,1,1,70.2,0.0,1,3,0.3
BSV,210,F,C,1996,3,1996-09-29,0,0,80.4,0.0,0,2,0.10666666666666667
BSV,210,F,R,1998,2,1998-03-05,3,1,56.8,0.63,3,4,0.3253968253968254
BSV,210,F,C,1996,1,1996-11-10,0,0,56.8,1.0,0,2,0.08
BSV,210,F,R,1997,3,1997-09-01,0,0,81.5,1.18,1,4,0.17142857142857143
BSV,210,F,R,1998,2,1998-05-27,0,0,69.8,0.19,0,4,0.29365079365079366
BSV,210,F,R,1998,2,1998-03-30,0,0,56.8,0.63,0,4,0.42063492063492064
BSV,210,F,R,1997,3,1997-07-01,0,0,87.4,0.03,0,2,0.26285714285714284
BSV,210,F,R,1997,3,1997-10-16,1,1,66.0,0.0,1,4,0.05142857142857143
BSV,210,F,R,1997,1,1998-02-05,3,1,49.3,2.67,3,4,0.1984126984126984
BSV,210,F,R,1998,3,1998-10-06,0,0,65.3,0.08,1,6,0.23809523809523808
BSV,210,F,R,1997,2,1997-05-13,0,0,81.5,0.0,0,2,0.10857142857142857
BSV,210,F,R,1998,3,1998-07-13,0,0,89.6,2.09,0,3,0.42857142857142855
BSV,211,F,C,1996,1,1997-02-06,0,0,52.7,0.19,0,4,0.045714285714285714
BSV,211,F,R,1997,1,1997-11-24,0,0,55.0,0.21,0,2,0.19428571428571428
BSV,211,F,R,1997,1,1998-01-20,0,0,46.9,0.18,0,4,0.15079365079365079
BSV,211,F,R,1997,3,1997-07-14,0,0,87.4,0.03,0,3,0.2857142857142857
BSV,211,F,R,1998,2,1998-05-26,0,0,69.8,0.19,1,1,0.5238095238095238
BSV,211,F,C,1996,3,1996-08-05,0,0,91.9,0.05,0,1,0.12
BSV,211,F,R,1997,2,1997-06-16,0,0,84.2,0.0,0,3,0.2571428571428571
BSV,211,F,R,1998,2,1998-03-13,0,0,56.8,0.63,0,4,0.09523809523809523
BSV,211,F,R,1997,2,1997-06-09,0,0,84.2,0.0,0,4,0.18857142857142858
BSV,211,F,R,1998,2,1998-03-18,0,0,56.8,0.63,0,1,0.15873015873015872
BSV,211,F,C,1997,2,1997-04-07,0,0,65.3,0.14,0,4,0.11428571428571428
BSV,211,F,R,1998,3,1998-07-08,0,0,89.6,2.09,0,5,0.42063492063492064
BSV,211,F,C,1996,1,1997-02-03,0,0,52.7,0.19,0,4,0.09714285714285714
BSV,211,F,R,1997,3,1997-10-24,0,0,66.0,0.0,0,2,0.15428571428571428
BSV,211,F,R,1997,1,1997-11-02,0,0,55.0,0.21,0,2,0.04
BSV,211,F,R,1997,2,1997-05-27,0,0,81.5,0.0,0,3,0.1657142857142857
BSV,211,F,R,1997,3,1997-07-28,0,0,87.4,0.03,0,4,0.13714285714285715
BSV,211,F,R,1999,2,1999-04-26,0,0,61.3,1.42,0,2,0.42727272727272725
BSV,211,F,R,1999,2,1999-06-07,0,0,84.0,0.22,0,5,0.33636363636363636
BSV,211,F,R,1997,1,1997-11-12,0,0,55.0,0.21,0,2,0.16
BSV,211,F,R,1997,1,1997-11-17,0,0,55.0,0.21,0,2,0.3485714285714286
BSV,211,F,R,1998,2,1998-03-05,0,0,56.8,0.63,0,4,0.3253968253968254
BSV,211,F,R,1997,3,1997-10-31,0,0,66.0,0.0,0,2,0.08571428571428572
BSV,211,F,R,1997,2,1997-06-06,0,0,84.2,0.0,0,4,0.22857142857142856
BSV,211,F,R,1998,3,1998-10-22,0,0,65.3,0.08,0,1,0.21428571428571427
BSV,211,F,C,1996,3,1996-09-28,0,0,80.4,0.0,0,1,0.05333333333333334
BSV,211,F,R,1999,2,1999-04-20,0,0,61.3,1.42,0,3,0.20909090909090908
BSV,211,F,R,1998,2,1998-06-26,0,0,79.5,0.0,0,2,0.1746031746031746
BSV,211,F,R,1998,3,1998-09-21,0,0,80.1,1.42,1,3,0.5555555555555556
BSV,211,F,R,1998,3,1998-09-29,0,0,80.1,1.42,1,3,0.31746031746031744
BSV,211,F,C,1997,2,1997-04-02,0,0,65.3,0.14,0,4,0.045714285714285714
BSV,211,F,R,1998,2,1998-03-10,0,0,56.8,0.63,0,4,0.46825396825396826
BSV,211,F,R,1999,2,1999-06-15,0,0,84.0,0.22,0,2,0.37272727272727274
BSV,211,F,R,1997,1,1998-02-19,0,0,49.3,2.67,0,4,0.38095238095238093
BSV,211,F,R,1998,1,1999-02-25,0,0,52.5,0.11,0,1,0.2818181818181818
BSV,211,F,C,1996,1,1996-11-16,0,0,56.8,1.0,0,1,0.16
BSV,211,F,R,1998,3,1998-10-26,0,0,65.3,0.08,0,1,0.5158730158730159
BSV,211,F,R,1997,3,1997-08-12,0,0,89.2,0.13,0,2,0.12571428571428572
BSV,211,F,C,1997,2,1997-03-25,0,0,63.0,0.0,0,4,0.10285714285714286
BSV,211,F,R,1998,1,1999-02-02,0,0,52.5,0.11,0,1,0.5909090909090909
BSV,211,F,R,1998,2,1998-04-06,0,0,61.0,0.8,1,1,0.3492063492063492
BSV,211,F,R,1998,2,1998-03-30,0,0,56.8,0.63,0,1,0.42063492063492064
BSV,211,F,R,1999,2,1999-03-29,0,0,61.0,0.0,0,2,0.5818181818181818
BSV,211,F,R,1998,1,1998-11-03,0,0,52.7,0.07,0,1,0.3412698412698413
BSV,211,F,R,1997,1,1998-02-03,0,0,49.3,2.67,0,4,0.25396825396825395
BSV,211,F,R,1998,2,1998-05-29,0,0,69.8,0.19,0,1,0.42857142857142855
BSV,211,F,R,1999,2,1999-06-28,0,0,84.0,0.22,0,4,0.4
BSV,211,F,C,1996,3,1996-10-12,0,0,66.9,0.44,0,1,0.06666666666666667
BSV,211,F,R,1997,1,1997-12-01,0,0,45.1,0.15,0,2,0.10285714285714286
BSV,211,F,R,1999,3,1999-07-19,0,0,91.0,0.53,0,2,0.2636363636363636
BSV,211,F,R,1998,1,1999-01-14,0,0,49.5,0.07,0,1,0.3
BSV,211,F,R,1999,3,1999-10-19,0,0,70.2,0.0,0,2,0.06363636363636363
BSV,211,F,C,1996,3,1996-10-27,0,0,66.9,0.44,0,1,0.14666666666666667
BSV,211,F,R,1998,2,1998-06-15,0,0,79.5,0.0,0,4,0.40476190476190477
BSV,211,F,C,1997,2,1997-03-19,0,0,63.0,0.0,0,4,0.045714285714285714
BSV,211,F,R,1998,1,1998-11-16,0,0,52.7,0.07,0,1,0.7936507936507936
BSV,211,F,R,1998,2,1998-06-01,0,0,79.5,0.0,0,1,0.35714285714285715
BSV,211,F,R,1998,3,1998-10-14,0,0,65.3,0.08,0,1,0.36507936507936506
BSV,211,F,R,1999,1,1999-11-10,0,0,57.7,0.0,0,1,0.35454545454545455
BSV,211,F,R,1997,3,1997-10-08,0,0,66.0,0.0,0,2,0.16
BSV,211,F,R,1997,2,1997-04-23,0,0,65.3,0.14,0,4,0.16
BSV,211,F,C,1996,1,1997-01-02,0,0,49.1,0.74,0,4,0.05142857142857143
BSV,211,F,R,1997,3,1997-07-01,0,0,87.4,0.03,0,2,0.26285714285714284
BSV,211,F,R,1998,1,1998-11-09,0,0,52.7,0.07,0,1,0.626984126984127
BSV,211,F,R,1997,2,1997-05-13,0,0,81.5,0.0,1,5,0.10857142857142857
BSV,211,F,R,1999,3,1999-08-31,0,0,90.1,0.02,0,2,0.37272727272727274
BSV,211,F,R,1999,2,1999-05-18,0,0,75.6,0.0,0,1,0.22727272727272727
