site,tortid,sex,year,quarter,status,temperature,rainfall,local_tort_density,local_burrow_density,std_homerange,survey_rate,survey_freq,tort_survey,burrow_count,logistic_count
BSV,211,F,1996,3,C,83.275000000000006,0.69499999999999995,0.0,0.69999999999999996,0.072336504665757223,0.34745762711864409,0.02883263009845289,0.23809523809523808,3,1
BSV,211,F,1997,1,R,50.049999999999997,0.17999999999999999,0.0,2.5,0.027117865520439578,0.28813559322033899,0.093791440626883674,0.2857142857142857,2,1
BSV,211,F,1997,2,R,73.5,0.035000000000000003,0.33333333333333331,3.6666666666666665,0.037484224106937095,0.59999999999999998,0.082480781457719199,0.2054794520547945,4,1
BSV,211,F,1997,3,R,81.025000000000006,0.33499999999999996,0.25,2.5,0.069005162261656802,0.75409836065573776,0.071366997867610388,0.12903225806451613,5,1
BSV,211,F,1998,1,R,52.700000000000003,0.070000000000000007,0.0,1.0,0.0015746719775628613,0.12068965517241378,0.16905766526019689,0.4666666666666667,2,1
BSV,211,F,1998,2,R,66.775000000000006,0.40500000000000003,0.14285714285714285,2.2857142857142856,0.071224090647836344,0.66386554621848737,0.12378691983122363,0.2625,7,1
BSV,211,F,1998,3,R,81.25,0.90499999999999992,0.29411764705882354,2.6470588235294117,0.072310162079299439,0.61016949152542377,0.11508005317611701,0.2328767123287671,3,1
BSV,211,F,1999,1,R,52.850000000000001,0.0,0.0,1.0,0.0,0.1111111111111111,0.085443037974683542,0.5,1,0
BSV,211,F,1999,2,R,70.474999999999994,0.40999999999999998,0.125,2.5625,0.058977799183296403,0.52500000000000002,0.104628164556962,0.25,7,1
BSV,211,F,1999,3,R,83.424999999999997,0.20250000000000001,0.1111111111111111,1.7777777777777777,0.061763973229166436,0.38181818181818183,0.097144539299381855,0.20930232558139536,3,1
BSV,218,J,1996,1,NA,52.299999999999997,0.56499999999999995,nan,nan,NA,0.11235955056179775,0.036440352896049098,0.0,0,0
BSV,218,J,1996,2,NA,82.450000000000003,0.089999999999999997,nan,nan,NA,0.53846153846153844,0.025316455696202535,0.0,0,0
BSV,218,J,1996,3,C,83.275000000000006,0.69499999999999995,0.0,2.0,0.0,0.34745762711864409,0.02883263009845289,0.047619047619047616,1,0
BSV,218,J,1997,1,R,50.049999999999997,0.17999999999999999,0.0,2.375,2.8421709430404007e-13,0.28813559322033899,0.093791440626883674,0.22857142857142856,2,1
BSV,218,J,1997,2,NA,73.5,0.035000000000000003,nan,nan,NA,0.59999999999999998,0.082480781457719199,0.0,0,0
BSV,218,J,1997,3,R,81.025000000000006,0.33499999999999996,0.125,2.625,0.044901189897389455,0.75409836065573776,0.071366997867610388,0.08602150537634409,3,1
BSV,218,J,1998,1,R,52.700000000000003,0.070000000000000007,0.0,2.6666666666666665,0.0,0.12068965517241378,0.16905766526019689,0.4,3,1
BSV,218,J,1998,2,R,66.775000000000006,0.40500000000000003,0.052631578947368418,3.0,0.085219222417294585,0.66386554621848737,0.12378691983122363,0.2375,4,1
BSV,218,J,1998,3,R,81.25,0.90499999999999992,0.0,2.8235294117647061,0.02955635968030277,0.61016949152542377,0.11508005317611701,0.2328767123287671,5,1
BSV,218,J,1999,1,NA,52.850000000000001,0.0,nan,nan,NA,0.1111111111111111,0.085443037974683542,0.0,0,0
BSV,218,J,1999,2,R,70.474999999999994,0.40999999999999998,0.0,3.625,0.032578471890606718,0.52500000000000002,0.104628164556962,0.25,4,1
BSV,218,J,1999,3,NA,83.424999999999997,0.20250000000000001,nan,nan,NA,0.38181818181818183,0.097144539299381855,0.0,0,0
BSV,219,J,1996,1,C,52.299999999999997,0.56499999999999995,0.0,3.3333333333333335,2.2737367544323206e-13,0.11235955056179775,0.036440352896049098,0.2727272727272727,2,1
BSV,219,J,1996,2,NA,82.450000000000003,0.089999999999999997,nan,nan,NA,0.53846153846153844,0.025316455696202535,0.0,0,0
BSV,219,J,1996,3,C,83.275000000000006,0.69499999999999995,0.0,1.8571428571428572,0.026172626914754072,0.34745762711864409,0.02883263009845289,0.16666666666666666,2,1
BSV,219,J,1997,1,R,50.049999999999997,0.17999999999999999,0.0,3.6666666666666665,2.2737367544323206e-13,0.28813559322033899,0.093791440626883674,0.08571428571428572,2,1
BSV,219,J,1997,2,C,73.5,0.035000000000000003,0.0,4.0,2.2737367544323206e-13,0.59999999999999998,0.082480781457719199,0.0410958904109589,1,0
BSV,219,J,1997,3,R,81.025000000000006,0.33499999999999996,0.20000000000000001,2.0,0.014234363356893029,0.75409836065573776,0.071366997867610388,0.053763440860215055,2,1
BSV,219,J,1998,1,R,52.700000000000003,0.070000000000000007,0.0,3.2000000000000002,2.2737367544323206e-13,0.12068965517241378,0.16905766526019689,0.3333333333333333,2,1
BSV,219,J,1998,2,R,66.775000000000006,0.40500000000000003,0.0,4.2105263157894735,0.028570153012106091,0.66386554621848737,0.12378691983122363,0.2375,4,1
BSV,219,J,1998,3,R,81.25,0.90499999999999992,0.125,3.5625,0.10033043684949944,0.61016949152542377,0.11508005317611701,0.2191780821917808,7,1
BSV,219,J,1999,1,NA,52.850000000000001,0.0,nan,nan,NA,0.1111111111111111,0.085443037974683542,0.0,0,0
BSV,219,J,1999,2,R,70.474999999999994,0.40999999999999998,0.071428571428571425,1.7857142857142858,0.022046712708310517,0.52500000000000002,0.104628164556962,0.21875,3,1
BSV,219,J,1999,3,NA,83.424999999999997,0.20250000000000001,nan,nan,NA,0.38181818181818183,0.097144539299381855,0.0,0,0
BSV,133,F,1996,1,NA,52.299999999999997,0.56499999999999995,nan,nan,NA,0.11235955056179775,0.036440352896049098,0.0,0,0
BSV,133,F,1996,2,NA,82.450000000000003,0.089999999999999997,nan,nan,NA,0.53846153846153844,0.025316455696202535,0.0,0,0
BSV,133,F,1996,3,NA,83.275000000000006,0.69499999999999995,nan,nan,NA,0.34745762711864409,0.02883263009845289,0.0,0,0
BSV,133,F,1997,1,T,50.049999999999997,0.17999999999999999,1.0,2.0,2.2737367544323206e-13,0.28813559322033899,0.093791440626883674,0.34285714285714286,1,0
BSV,133,F,1997,2,NA,73.5,0.035000000000000003,nan,nan,NA,0.59999999999999998,0.082480781457719199,0.0,0,0
BSV,133,F,1997,3,NA,81.025000000000006,0.33499999999999996,nan,nan,NA,0.75409836065573776,0.071366997867610388,0.0,0,0
BSV,133,F,1998,1,E,52.700000000000003,0.070000000000000007,0.0,2.5,0.00093169499058169637,0.12068965517241378,0.16905766526019689,0.4,3,1
BSV,133,F,1998,2,E,66.775000000000006,0.40500000000000003,0.0,0.79166666666666663,1.3390589613533792,0.66386554621848737,0.12378691983122363,0.3,2,1
BSV,133,F,1998,3,E,81.25,0.90499999999999992,0.0,1.21875,0.53710213828015263,0.61016949152542377,0.11508005317611701,0.4383561643835616,9,1
BSV,133,F,1999,1,NA,52.850000000000001,0.0,nan,nan,NA,0.1111111111111111,0.085443037974683542,0.0,0,0
BSV,133,F,1999,2,E,70.474999999999994,0.40999999999999998,0.0,0.59999999999999998,0.053201091778968715,0.52500000000000002,0.104628164556962,0.234375,2,1
BSV,133,F,1999,3,E,83.424999999999997,0.20250000000000001,0.0,1.75,0.068025419549398419,0.38181818181818183,0.097144539299381855,0.27906976744186046,1,0
BSV,132,M,1996,1,NA,52.299999999999997,0.56499999999999995,nan,nan,NA,0.11235955056179775,0.036440352896049098,0.0,0,0
BSV,132,M,1996,2,NA,82.450000000000003,0.089999999999999997,nan,nan,NA,0.53846153846153844,0.025316455696202535,0.0,0,0
BSV,132,M,1996,3,NA,83.275000000000006,0.69499999999999995,nan,nan,NA,0.34745762711864409,0.02883263009845289,0.0,0,0
BSV,132,M,1997,1,T,50.049999999999997,0.17999999999999999,0.92307692307692313,1.0769230769230769,5.1159076974727213e-13,0.28813559322033899,0.093791440626883674,0.37142857142857144,1,0
BSV,132,M,1997,2,NA,73.5,0.035000000000000003,nan,nan,NA,0.59999999999999998,0.082480781457719199,0.0,0,0
BSV,132,M,1997,3,NA,81.025000000000006,0.33499999999999996,nan,nan,NA,0.75409836065573776,0.071366997867610388,0.0,0,0
BSV,132,M,1998,1,E,52.700000000000003,0.070000000000000007,0.0,1.3333333333333333,0.033913697658771051,0.12068965517241378,0.16905766526019689,0.4,3,1
BSV,132,M,1998,2,E,66.775000000000006,0.40500000000000003,0.10714285714285714,0.5,0.51031315055676141,0.66386554621848737,0.12378691983122363,0.35,5,1
BSV,132,M,1998,3,E,81.25,0.90499999999999992,0.0,0.6428571428571429,0.34502331331965885,0.61016949152542377,0.11508005317611701,0.3835616438356164,7,1
BSV,132,M,1999,1,NA,52.850000000000001,0.0,nan,nan,NA,0.1111111111111111,0.085443037974683542,0.0,0,0
BSV,132,M,1999,2,E,70.474999999999994,0.40999999999999998,0.0,0.7857142857142857,0.12968041513695833,0.52500000000000002,0.104628164556962,0.21875,3,1
BSV,132,M,1999,3,E,83.424999999999997,0.20250000000000001,0.0,0.5,0.091941311356873556,0.38181818181818183,0.097144539299381855,0.27906976744186046,1,0
BSV,131,M,1996,1,NA,52.299999999999997,0.56499999999999995,nan,nan,NA,0.11235955056179775,0.036440352896049098,0.0,0,0
BSV,131,M,1996,2,NA,82.450000000000003,0.089999999999999997,nan,nan,NA,0.53846153846153844,0.025316455696202535,0.0,0,0
BSV,131,M,1996,3,NA,83.275000000000006,0.69499999999999995,nan,nan,NA,0.34745762711864409,0.02883263009845289,0.0,0,0
BSV,131,M,1997,1,T,50.049999999999997,0.17999999999999999,1.6923076923076923,1.9230769230769231,0.033064646461561237,0.28813559322033899,0.093791440626883674,0.37142857142857144,2,1
BSV,131,M,1997,2,NA,73.5,0.035000000000000003,nan,nan,NA,0.59999999999999998,0.082480781457719199,0.0,0,0
